User ID,Text,Followers Count,Friends Count,Statuses Count
1.62E+18,"@E_Aria_N @particle57 در این کشور رهبرش در امور پزشکی و واکسن کرونا دخالت میکند و ورود آن را ممنوع!
وای بحال مسائل سیاسی",6,62,344
1.62E+18,"ما #یادمون_نمیره که صدام با ارتش و همه جنگ‌افزارهای کشتار جمعیش، تو ۸سال جنگ اینقدر ایرانی نکشت که بالا اومدن این دست و ممنوع کردن واکسن آمریکایی تو ۸ماه کشت!#مهسا_امينى https://t.co/wfAChUuo9O",41,123,432
1.62E+18,@paaaaaaariiiiii واسه ما که این کارا عادیه. ممنوع کردن واکسن و مردم صدهاهزار نفر,269,487,10113
1.62E+18,"@blueberryy2023 @Khamenei_fa چندین ماه وقت تلف کردید به بهانه ساخت داخل نگذاشتید واکسن وارد مملکت شود. واکسن های انگلیسی  و آمریکایی را کلا ممنوع کردید و بسیاری از هموطنانمان را به کشتن دادید.
وقتی کرونا شروع شد پروازهای به چین را قطع نکردید.
خدا از شما نگذره.",4313,4999,2265
1.62E+18,@ehsanmansuri بیشرف ...واقعا فکر میکنی اپوزوسیون ج.ا دشمن مردم هستند؟ خامنه ای دشمن مردمه ..یادمون نرفته واردات واکسن ممنوع کرد و کلی آدم رو به کشتن داد..اینهم از وضعیت خوی,6,69,387
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
